seg_id,category,group,has_proper_noun,duration_s,ko_ref,hyp_ko,chrf++,latin_leak,translate_elapsed_s
7112_25922_194.00_195.00,게임,normal,False,1.0,저 3개 가지고 있으니까 이제 그럼,"그 3개를 이미 가지고 있어서, 어.",15.96,False,0.5160000000614673
7112_25922_198.00_203.00,게임,normal,False,5.0,아 근데 그 레시피 있잖아 지금 구할 수 있는 저 초록색 레시피를 사용해서,"아, 저기, 지금 손에 있는 그 녹색 레시피 쓰면 되잖아.",14.95,False,0.9529999999795109
7112_25922_2.00_4.00,게임,normal,False,2.0,뭔가 바스락바스락하고,なんか 거르르르르~,0.0,False,0.43700000015087426
7112_25922_204.00_206.00,게임,normal,False,2.0,저기 우클릭으로 사용해서,음... 오른쪽 클릭으로 사용해.,34.93,False,0.5
7112_25922_206.00_208.00,게임,normal,False,2.0,그 세 가지를 조합하면,그 세 가지를 조합하면,100.0,False,0.39099999982863665
7112_25922_208.00_210.00,게임,normal,False,2.0,아 숙제 없어? 숙제 내가 가지고 있구나.,"아, 숙제를 안 가지고 왔어? 숙제는 내가 가지고 왔는데.",29.67,False,0.8440000000409782
7112_25922_221.00_222.00,게임,normal,False,1.0,오케이 오케이 오케이 오케이,오키 오키 오키 오키,4.46,False,0.4529999999795109
7112_25922_222.00_223.00,게임,normal,False,1.0,그럼 촛불도 건네놓을게,그럼 촛불도 건네줄게.,58.24,False,0.5470000000204891
8407_40837_0.00_15.28,"음식,요리",normal,False,15.28,오늘은 거의 잊지 않았던 증기가스 패키지를 소개하겠습니다.,"오늘은 거의 잊지 않고, 수증기 가스 패키지를 소개할게요.",52.67,False,0.875
8407_40837_106.28_108.28,"음식,요리",normal,False,2.0,"이런, 아저씨 고마워요","아, 오브 씨, 감사합니다.",6.37,False,0.5309999999590218
8407_40837_108.28_114.28,"음식,요리",normal,False,6.0,"오랜만에 초밥이야, 얼마만이야?반년정도? 정말 오랜만이야.","오랜만에 초밥 먹는 거네, 언제부터? 6개월 정도? 진짜 오랜만이야",26.32,False,1.0
8407_40837_116.28_119.28,"음식,요리",normal,False,3.0,"라이브 첫 참전, 닛세이씨, 좋아요이","라이브 첫 출전, 히나시마 씨, 영차~",21.93,False,0.7970000000204891
8407_40837_120.28_122.28,"음식,요리",normal,False,2.0,"토모씨 고마워요, 만명","토모 씨, 감사합니다. 1만 명.",14.85,False,0.6090000001713634
8407_40837_129.28_138.28,"음식,요리",normal,False,9.0,"안녕하세요, 아슈아슈씨","안녕하세요, 아슈아슈 씨.",86.22,False,0.5319999998901039
8407_40837_171.28_178.28,"음식,요리",normal,False,7.0,30접시가 초밥이고 10접시가 디저트,"30접시는 회가, 10접시는 디저트입니다.",20.27,False,0.8119999999180436
8407_40837_178.28_181.28,"음식,요리",normal,False,3.0,그래서 왕창 갈 수 있지 않을까 하는 느낌,그래서 한 번은 될 것 같아.,6.86,False,0.5
8407_40837_185.28_194.28,"음식,요리",normal,False,9.0,안주 먹고 이제 시작해도 될까,조금씩 먹어도 괜찮을까?,3.18,False,0.5779999999795109
8407_40837_212.28_219.28,"음식,요리",normal,False,7.0,"그럼 지금부터 체중 측정부터 시작할게요, 몇 킬로그램 늘어나는지","그럼 지금부터, 체중 측정부터 시작할게요, 몇 킬로 늘었는지.",65.65,False,1.047000000020489
8407_40837_231.28_237.28,"음식,요리",normal,False,6.0,"어, 꺼졌어, 잠깐만, 잠깐만 다시","그게, 사라졌네, 기다려 기다려 다시 한 번",9.44,False,0.6720000000204891
8407_40837_259.28_267.28,"음식,요리",normal,False,8.0,전혀 보이지 않았다. 음.. 몸무게는 54.5 이 옷을 입고 54.5 입니다.,"전혀 보이지 않았어. 음, 내 체중은 54.5kg이야. 이 옷을 입고 54.5kg이야.",41.36,True,1.3590000001713634
8407_40837_267.28_271.28,"음식,요리",normal,False,4.0,"네, 여러분 기억하세요, 얼마나 늘어날까","네, 여러분이 기억해 주세요. 얼마나 많이 늘어날지.",29.73,False,0.7029999999795109
8407_40837_285.28_291.28,"음식,요리",normal,False,6.0,"어, 그럼 나도 한번 매일 대식해볼까?","으, 그렇다면 나도 하루에 한 번씩 매일 대식을 해보는 거야.",18.88,False,0.875
8407_40837_297.28_301.28,"음식,요리",normal,False,4.0,정말로 더 크고 싶었다.,정말 더 커지고 싶었어.,19.48,False,0.5470000000204891
8407_40837_304.28_308.28,"음식,요리",normal,False,4.0,"좋아, 54.5 모두 기억해, 정말","좋아, 54.5, 다들 기억해 주세요, 진짜",42.65,False,0.8279999999795109
8407_40837_322.28_325.28,"음식,요리",normal,False,3.0,후테라노테라는 메시라노테라!,"후테라는 테라는, 메스테라의 테라!",21.81,False,0.6569999998901039
8407_40837_325.28_330.28,"음식,요리",normal,False,5.0,그래서 오늘은 초밥 100관을 먹고 가려고 합니다.,"그러니까, 오늘은 100貫의 초밥을 먹어보려고 해요.",16.81,False,0.875
8407_40837_330.28_333.28,"음식,요리",normal,False,3.0,그럼 먹고 갑시다,그럼 먹어볼게요.,15.82,False,0.4529999999795109
8407_40837_355.28_359.28,"음식,요리",normal,False,4.0,"맞아요, 엄청 작아요.","네, 정말 키가 작아요.",25.55,False,0.4690000000409782
8407_40837_377.28_382.28,"음식,요리",normal,False,5.0,"이 인사, 특별한 의미는 없을까?","이 인사말, 특별히 의미가 없을까.",24.75,False,0.5930000001098961
8407_40837_382.28_386.28,"음식,요리",normal,False,4.0,뭔가 선배님이 뭔가 이런 것도 좋네 이런 것도 좋아요.,"어느 정도 선배가, 이런 것도 괜찮다던 것 같아.",15.88,False,0.7349999998696148
8407_40837_386.28_389.28,"음식,요리",normal,False,3.0,"그래서 같이 생각했어, 했지, 어떻게 했지?","그러니까, 함께 생각해보고, 어떻게 했는지 기억나?",21.81,False,0.7029999999795109
8407_40837_398.28_401.28,"음식,요리",normal,False,3.0,총액은 5000엔 정도군요.,총액은 5000엔 정도겠지.,67.48,False,0.5779999999795109
8407_40837_401.28_412.28,"음식,요리",normal,False,11.0,"무슨 소재인지, 그거야, 제일 좋아하는 붕장어부터 정했어.","어떤 재료인지, 그건 내가 가장 좋아하는 약사(穴子)에서부터 정해놨어.",18.93,False,1.0620000001508743
8407_40837_430.28_435.28,"음식,요리",normal,False,5.0,요네다는 내일 동영상 올리니까 기대해주세요.,"미타다는, 내일 영상을 올릴 테니까 기대해 주세요.",36.86,False,0.8909999998286366
8407_40837_456.28_460.28,"음식,요리",normal,False,4.0,"오늘은 초밥만 일단, 그래도 일단은..","오늘은 적당히 초밥만 먹을 예정이지만, 진짜로 말야.",16.7,False,0.9840000001713634
8407_40837_460.28_465.28,"음식,요리",normal,False,5.0,"저기, 만약 다 먹으면 푸딩이 1개 있어요.","음, 전부 다 먹을 수 있다면 푸딩이 하나 있습니다.",16.52,False,0.75
8407_40837_470.28_474.28,"음식,요리",normal,False,4.0,"있잖아, 요네다 정말로 기대하고 있어, 굉장히","야, 이다가 진짜 기대하고 있어, 진짜로",31.19,False,0.625
8407_40837_482.28_487.28,"음식,요리",normal,False,5.0,육상에서 장거리 1500 이런거 하고 있을까?,"육상에서, 1500미터 긴거리 달리기 같은 걸 하고 있나?",23.58,False,0.9069999998901039
1373_5567_102.40_111.99,"일상,소통",hard,False,9.585014636599993,"그래서 뭐라고 할지, 요즘 잠깐 중간에 사진 같은 걸 삽입할 수 있도록 뭔가 소프트웨어를 사용해서 라이브 하고 있거든요.","그러니까, 요즘은 좀, 중간중간 사진 같은 걸 삽입할 수 있게 소프트를 써가면서 방송하고 있거든요.",32.94,False,1.297000000020489
1373_5567_111.99_121.85,"일상,소통",hard,False,9.860005090983364,"그래서 뭔가 우리랑 여러분, 우리가 아니라 저랑 여러분 사이에 저 시차가 10초나 20초 정도 있으려나. 그런 것 같은데요.","그러니까, 우리랑, 여러분, 우리랑은 아니고, 나랑 여러분 사이에, 그, 시간 차이가 10초나 20초 정도 있는 것 같아요. 그런 것 같아요.",41.8,False,1.6399999998975545
1373_5567_122.00_126.63,"일상,소통",hard,False,4.625073182999998,"뭐 좀, 그건 가급적 무시하고 좀 라이브 해보겠습니다.","조금만, 그건, 너무 신경 쓰지 않으려고, 잠시만, 방송을 계속하고 싶어요.",10.77,False,1.172000000020489
1373_5567_127.20_133.94,"일상,소통",hard,False,6.735122820099988,"좋아. 그런데 음, 잠시만요. 제 채팅을 보기 쉽게 제 페이지를 스마트폰으로 볼게요.","좋아. 어, 잠깐만 기다려줘. 내 채팅을 보기 편하게 하려면, 내 페이지를 스마트폰으로 확인할게.",35.35,False,1.452999999979511
1373_5567_134.90_138.76,"일상,소통",hard,False,3.8550439098000027,에구구. 네. OK. 이제 볼 수 있게 됐어요.,"영차. 하이. 오케이. 이렇게 되면, 볼 수 있게 됐어요.",38.7,False,0.8280000002123415
1373_5567_138.91_146.61,"일상,소통",hard,False,7.7000000000341515,"네. 그럼, 음, 여러분 안녕하세요. 국내 등산? 이라는 댓글이 네. 있네요.","네. 어, 여러분 안녕하세요. 국내 등산? 이라는, 코멘트가, 네. 있습니다.",58.29,False,1.0469999997876585
1373_5567_146.80_151.59,"일상,소통",hard,False,4.790039455200002,"음, 이번에는 음, 국내가 아니라 해외 등산에 대해 좀 발표하고 싶습니다.","음, 이번에는 해외에서의 등산에 대해 발표하고 싶습니다.",47.83,False,0.7190000000409782
1373_5567_157.50_159.63,"일상,소통",hard,False,2.130034364199986,짜잔. 네. 맥주 준비했어요.,자~. 응. 맥주를 준비했어.,23.88,False,0.6090000001713634
1373_5567_165.64_178.08,"일상,소통",hard,False,12.435021000287861,"이것은, 음, 나, 어, 7월 초순인가. 7월인가? 7월이었나, 에블레스라는 아웃도어 용품점에서 그 이벤트를 했거든요.","이건, 음... 제가, 음... 7월 초쯤일 거예요. 7월이었나요? 7월 쯤, '엘브레스'라는 아웃도어 용품점에서 이벤트를 했던 거죠.",32.12,False,2.202999999979511
1373_5567_178.20_183.93,"일상,소통",hard,False,5.725035000500014,오차노미즈점에서. 그때 시청자분들이 가져다 주셔서 오늘 좀 마셔보려고 남겨뒀어요.,"그치노미 점에서요. 그때 시청자분이 가져다 주셨는데, 오늘은 잠깐 마셔보려고 남겨두었어요.",36.69,False,1.375
1373_5567_18.39_22.40,"일상,소통",hard,False,4.010329641464466,아이고. 네. 찍혔으면 여러분 알려주세요.,"영차. 하이. 방송이 시작되면, 여러분께 알려드릴게요.",14.56,False,0.75
1373_5567_184.24_186.56,"일상,소통",normal,False,2.3248949983878617,이거 어디 맥주일까? 별똥별.,이건 어디서 나온 맥주지. 유성.,9.75,False,0.5939999998081475
1373_5567_188.57_197.98,"일상,소통",hard,False,9.414088590822104,"국산 홉 농가 분들이 기른 홉을, 뭐 국산 홉이 사용된 맥주라고 하니 맛있을 것 같아. 그럼 잘 먹겠습니다.","국산 홉 농가에서 키운 홉을, 음, 국산 홉이 사용된 맥주니까 맛있어 보이네요. 그럼, 맛보겠습니다.",35.21,False,1.547000000020489
1373_5567_200.19_203.88,"일상,소통",hard,False,3.6898867254776633,우와. 네. 왠지 패키지도 엄청 멋지네요.,"와. 네. 어, 포장도 진짜 멋지다. 네.",19.94,False,0.8590000001713634
1373_5567_204.40_205.66,"일상,소통",normal,False,1.2600050909999823,시청자님 감사합니다.,"시청자 여러분, 감사합니다.",50.69,False,0.45399999991059303
1373_5567_205.71_208.64,"일상,소통",hard,False,2.929996181746958,"근데 음, 글라스는요, 이거 완전 마음에 드는데요","그리고, 음... 이 잔은 정말로 제게는 최고로 좋아하는 거예요.",5.21,False,0.9529999999795109
1373_5567_208.66_220.91,"일상,소통",hard,False,12.24985363408183,"이것은, 어 스위스의, 어, 이 클라이네 샤이덱이라고 하는, 그, 그린델왈드의, 이, 이렇게, 높은 산 위쪽에 있는 역의 네. 어. 이거 유리잔이네요.","이건, 음, 스위스의, 음, 클라인-샤이데크라는, 그, 그린델바ルド의, 이, 이런, 높은 산 위에 있는 역이에요. 응, 이거, 유리잔이에요.",31.84,False,2.202999999979511
1373_5567_220.97_222.58,"일상,소통",hard,False,1.6103041865648322,그럼 이걸로 좀 먹어보겠습니다.,"그럼, 이걸로 잠시, 맛있게 먹겠습니다.",29.55,False,0.7339999999385327
1373_5567_223.70_227.42,"일상,소통",hard,False,3.722738758600002,"아, 다들 예상하시네요. 마터호른이냐고요, 다음에 올라갈 산.","아, 여러분들이 예상하고 있네요. 다음에 오를 산이 마타호른이냐고.",25.09,False,0.9690000000409782
1373_5567_23.75_26.94,"일상,소통",hard,False,3.185154638714039,"잠깐만, 오늘은 약간의 타임래그, 아,","조금 말할게, 오늘은 약간의 시간 지연이, 아~",36.35,False,0.7660000000614673
1373_5567_231.50_238.03,"일상,소통",hard,False,6.529919816930317,"아, 잠깐만, 나 붓는 걸 잘 못해서 거품이 났어. 잠깐만, 잠깐만 기다릴게요. 네.","아, 잠깐, 나, 부어주는 방법이, 그렇게 잘하지 못해서 거품이 생겼어. 잠깐, 잠깐 기다려주자. 하~.",28.6,False,1.4369999999180436
1373_5567_240.87_242.99,"일상,소통",normal,False,2.115469007227915,에베레스트? 라는 댓글도 있네요.,에베레스트?라는 댓글도 있네요.,87.47,False,0.5
1373_5567_243.38_247.53,"일상,소통",hard,False,4.145745193375717,어떨까요? 네. 음.,"어떻게 생각하시겠어요? 응, 음...",13.86,False,0.5940000000409782
1373_5567_250.74_256.32,"일상,소통",normal,False,5.577932488389877,남극 대륙의 산인가요? 남극일까요? 어딜까요.,남극 대륙의 산 같은 거 말인가요? 아마 남극이겠죠. 어떻게 생각하세요?,30.98,False,0.9370000001508743
1373_5567_256.68_259.22,"일상,소통",hard,False,2.5446760859341566,네. 우선 맥주로 건배를 하도록 하겠습니다.,"네. 우선 잠시, 맥주로 건배하고 싶습니다.",36.37,False,0.75
1373_5567_272.00_275.53,"일상,소통",hard,False,3.525060455500011,"그래서 술이라든가, 거의 그냥 마시지 않았어요. 요즘.",최근엔 거의 술도 안 마셨어요.,9.17,False,0.5469999997876585
1373_5567_276.00_280.71,"일상,소통",hard,False,4.705075728400004,"네. 오늘은, 아, 오랜만이라도, 그도 그럴게, 실은 어제 참을 수 없어서 마셔 버렸지만요.","네. 오늘은, 아, 오랜만이라도, 사실 어제는 참지 못하고 마셔버렸거든요.",44.26,False,1.0630000000819564
1373_5567_28.24_33.58,"일상,소통",hard,False,5.330492553036741,"점심 드셨어요? 아, 점심 드셨어요가 아니라. 저녁 드셨어요다. 여러분 저녁 드셨어요?","안녕하세요. 아, 안녕하세요는 아니고. 안녕히 계세요. 여러분, 안녕히 계세요.",12.74,False,0.9680000001098961
1373_5567_281.33_284.11,"일상,소통",hard,False,2.7802570948409198,어제는 더 이상 참을 수 없어서 하이볼을 조금 마셔 버렸거든요.,"어제는 참지 못하고, 잠깐 하이볼을 한 잔 했는데.",12.78,False,0.8599999998696148
1373_5567_291.15_296.32,"일상,소통",hard,False,5.165029909556154,"네. 아, 하쿠바다케 등반하고 왔어요 라는 분이 계시네요. 날씨 좋았잖아요. 오늘.","네. 아, 하白马岳을 등반 왔다면서요. 날씨는 좋았지 않나요? 오늘 같은 날이요.",22.99,False,1.2190000000409782
7266_28097_0.00_8.64,"패션,뷰티",normal,False,8.64,"여기 왼손 중지도 떨어져 버려서, 그 며칠 전에도 오른손, 둘 다 이번에는 중지가 떨어져 버렸습니다.","이쪽은 왼손의 중지가 떨어져 버렸는데, 그 이틀 전에 오른손도 떨어졌어요. 이번에는 양손의 중지가 다 떨어져 버렸네요.",29.33,False,1.827999999979511
7266_28097_102.40_106.04,"패션,뷰티",normal,False,3.6400000000000006,그다음에 같이 밥 같은 거 먹고 그러는데,그 후에는 함께 음식을 먹거나 그런 걸 하죠.,5.34,False,0.7339999999385327
7266_28097_106.04_111.56,"패션,뷰티",normal,False,5.519999999999996,네일은 잠깐 갈 때는 쉬시는 분들이 많아서,"네일은 조금 가는 경우가 많아서, 휴무가 되는 경우가 더 많아.",12.75,False,0.9060000001918525
7266_28097_111.56_118.04,"패션,뷰티",normal,False,6.480000000000004,약간의 시술 고객이 줄어들기는 해서,"조금은 치료를 받는 고객이 줄어들긴 했지만,",21.91,False,0.8599999998696148
7266_28097_118.04_124.44,"패션,뷰티",normal,False,6.3999999999999915,어딘가의 타이밍에 조금만 모집할지도 생각하고 있기 때문에,"어느 타이밍에서는 조금만 모집할 수도 있겠다고 생각하고 있어요,",28.21,False,0.8589999999385327
7266_28097_124.44_131.80,"패션,뷰티",normal,False,7.360000000000014,아직 구체적으로 생각하지 않아서 조금만 더 기다려주시면 감사하겠습니다.,"아직 구체적으로 생각하지 않았기 때문에, 잠시만 기다려 주시면 정말 감사하겠습니다.",56.21,False,0.9380000000819564
7266_28097_131.80_134.56,"패션,뷰티",normal,False,2.759999999999991,"그렇기 때문에, 이쪽도 자주 듣습니다만,","그렇기 때문에, 이쪽도 자주 묻는 질문이지만,",65.02,False,0.7029999999795109
7266_28097_134.56_139.96,"패션,뷰티",normal,False,5.400000000000006,이것은 프리젤 네일 프렙이라고 하는 프리 프라이머 액체인데요.,"이건 프리제르의 네일 프레프라는 프리프라이머 액체예요,",27.14,False,0.9059999999590218
7266_28097_139.96_145.28,"패션,뷰티",normal,False,5.319999999999993,따로 에탄올 성분이 들어있는 액체라면 뭐든지 좋습니다.,별로 에탄올 성분이 들어간 액체면 뭐든 괜찮아요.,34.93,False,0.8910000000614673
7266_28097_145.28_151.00,"패션,뷰티",normal,False,5.719999999999999,이것을 뿌리로 일단 스며들어가도록 하겠습니다.,이걸 뿌리부터 천천히 스며들어가자.,15.41,False,0.7029999999795109
7266_28097_151.00_157.68,"패션,뷰티",normal,False,6.680000000000007,"그대로 떼어 버리면 상당히 땅을 채워 넣는 경우가 많기 때문에,","그대로 떼어 버리면 사실상 피부 본연의 톤이 그대로 남지 못하고, 자주 그런 경우가 많아서,",28.6,False,1.2339999999385327
7266_28097_157.68_162.00,"패션,뷰티",normal,False,4.319999999999993,다만 두께감이 있으면 충전재를 가져가기 쉽기 때문에,"그냥 두께가 있으면, 땅이 꽉 찰수록(지질) 끌려가기 쉬워.",9.45,False,1.1410000000614673
7266_28097_162.00_167.16,"패션,뷰티",normal,False,5.159999999999997,"이 엄지손가락, 약지가 이번에는 좀 걱정스러운 요소입니다.","이 엄지, 약지가 이번에는 약간 걱정스러운 요소입니다.",63.88,False,0.8900000001303852
7266_28097_167.16_172.84,"패션,뷰티",normal,False,5.680000000000007,"안녕하세요, 잘 부탁드립니다.","안녕하세요, 잘 부탁드립니다.",100.0,False,0.43799999984912574
7266_28097_17.24_24.96,"패션,뷰티",normal,False,7.720000000000002,"색감은 조금 기대하고, 네, 그럼 우선입니다, 바로 평소처럼 손톱을 떼어 가고 싶습니다.","색감은 잠시 즐거움으로 남기고, 좋아, 우선은 항상 그렇듯이 손톱을 제거해볼게요.",11.81,False,1.1870000001508743
7266_28097_172.84_177.56,"패션,뷰티",normal,False,4.719999999999999,항상 네일 보러 와주시는 분들,"항상 네일을 보러 오시는 분들,",32.9,False,0.5779999999795109
7266_28097_177.56_184.16,"패션,뷰티",normal,False,6.599999999999994,추천이 오렌지라서 이번에도 따라하겠다고 해주시는 분들이 종종 계시는데요.,"제가 좋아하는 색이 오렌지라 이번에도 제가 따라하는 거라고 해주신 분들이 종종 계시는데요,",39.89,False,1.0629999998491257
7266_28097_184.16_188.72,"패션,뷰티",normal,False,4.560000000000002,오랜만에 다른 색을 하고 싶어서,다시 색을 바꿔보고 싶네요.,9.5,False,0.5309999999590218
7266_28097_188.72_193.12,"패션,뷰티",normal,False,4.400000000000006,항상 주황색 참고해주시는 분들은 정말 죄송합니다.,항상 오렌지색을 참고해 주시는 분들께 정말 미안합니다.,35.35,False,0.75
7266_28097_195.16_204.16,"패션,뷰티",normal,False,9.0,역시 표면이 두꺼우면 맨땅 포장이 가져가기 십상인 것이군요.,겉이 두꺼우면 속이 쏠리는 편이에요.,13.91,False,0.7970000000204891
7266_28097_204.16_210.20,"패션,뷰티",normal,False,6.039999999999992,겉면이 얇아야 팍 벗겨지는데,겉이 얇아야 퍼~라~ 벗겨지지 않아요.,20.3,False,0.7970000000204891
7266_28097_210.20_214.48,"패션,뷰티",normal,False,4.280000000000001,잠깐 스폰지 파일을 걸어갈까요?,조금만 스폰지 파일을 써 볼게요.,30.34,False,0.7190000000409782
7266_28097_214.48_220.84,"패션,뷰티",normal,False,6.360000000000014,접착 부분도 있었는데 접착을 떼도 역시 좀 가져가네요.,"점착 부분도 있었지만, 점착제를 제거하려고 해도 결국 약간은 끌려가 버리네요.",18.36,False,1.1400000001303852
7266_28097_226.12_229.52,"패션,뷰티",normal,False,3.4000000000000057,다른 손가락도 가보도록 하겠습니다.,다른 손가락도 하고 싶어요.,32.04,False,0.5319999998901039
7266_28097_229.52_236.04,"패션,뷰티",normal,False,6.519999999999982,여기서 한 번 더 플렙 넣고,여기서도 한 번 더 프렙을 넣어.,28.42,False,0.5930000001098961
7266_28097_236.04_242.00,"패션,뷰티",normal,False,5.960000000000008,한 번 더 추가하면 더 잘 빠진다.,다시 한 번 추가하면 더 잘 잡을 수 있어.,41.05,False,0.6099999998696148
7266_28097_24.96_35.64,"패션,뷰티",normal,False,10.68,제 네일은 항상 바를 때도 설명하고 있지만 떼어낼 수 있는 베이스 젤을 사용하고 있기 때문에 이번에도 떼어 가겠습니다.,"제가 네일을 항상 바를 때마다 설명드리지만, 제가 사용하는 베이스 젤은 제거 가능한 종류라서, 이번에도 떼어내려고 합니다.",23.77,False,1.5
7266_28097_242.00_246.80,"패션,뷰티",normal,False,4.800000000000011,마침 치에코 선생님의 지난 번 네일 체인지 아카이브에서 보고 있었습니다.,바로 츠기모토 씨의 지난번 네일 아트 변경 아카이브를 봤어요.,16.34,False,1.1400000001303852
7266_28097_249.44_253.80,"패션,뷰티",normal,False,4.360000000000014,꼭 몇 번이라도 봐주시면 너무 감사하겠습니다.,정말로 여러 번 보여 주시면 매우 기쁠 것입니다.,10.1,False,0.6099999998696148
7266_28097_255.04_260.20,"패션,뷰티",normal,False,5.159999999999997,"마침 머신, 마이네일을 끄고 있었어요.","기다리고 계세요, 내 네일을 제거하고 있었어요.",28.74,False,0.7650000001303852
