seg_id,category,duration_s,ja_ref,hyp,cer,chrf++,bleu_char,rouge_l_f1,stt_elapsed_s
7112_25922_156.00_157.00,게임,1.0,待ってマッチいるって俺も,じゃマッチいるって俺。,0.3333,50.55,62.21,0.7273,0.2029999999795109
7112_25922_16.00_18.00,게임,2.0,あー!サムさん蹴ったでしょ!,ああ、サムソン決ったいしょ。,0.5,10.75,10.32,0.5385,0.3440000000409782
7112_25922_161.00_162.00,게임,1.0,火のついたロウソクを作る,ついたろうそくを。,0.6667,9.46,13.4,0.4,0.2029999999795109
7112_25922_163.00_164.00,게임,1.0,ロウダイを作る必要がある,作る必要がある。,0.4167,43.83,48.95,0.7368,0.1559999999590218
7112_25922_170.00_172.00,게임,2.0,宿題とロウソクとマッチを組み合わせたら作れる,食材と老熟とマッチを組み合わせた。,0.4545,40.1,45.84,0.6316,0.375
7112_25922_175.00_176.00,게임,1.0,ロウソクがなくなれば火が消える,ロスが無くなれば火が,0.4667,26.78,33.69,0.64,0.25
7112_25922_180.00_181.00,게임,1.0,火のついた宿題とロウソクを組み合わせたら,火のついた食材とロース,0.65,15.19,17.8,0.4516,0.25
7112_25922_186.00_188.00,게임,2.0,火のついた宿題を持っている人の近くにいる人も,日の付いた宿題を持っている人の近くに。,0.2727,57.73,66.5,0.8,0.28200000000651926
7112_25922_194.00_195.00,게임,1.0,あの3つ持ってるからもうじゃあ,あの三つ持ってるから。,0.4,35.52,42.89,0.72,0.2029999999795109
7112_25922_198.00_203.00,게임,5.0,あ、であのレシピあるやん今手に入ってるあの緑のレシピを使って,あであのレシピレシピあるやん今あの手に入ってるあの緑の緑のレシピ,0.3793,59.39,71.8,0.8197,0.6560000000754371
7112_25922_2.00_4.00,게임,2.0,なんかガサガサガサガサって,なんかガサガサガサガサつって。,0.0769,70.96,80.91,0.963,0.3279999999795109
7112_25922_204.00_206.00,게임,2.0,あのー右クリックで使って,あの右クリックで使って。,0.0833,62.73,77.72,0.9565,0.18799999996554106
7112_25922_206.00_208.00,게임,2.0,その3つを組み合わせたら,でその三つを。,0.75,8.21,8.45,0.4444,0.18700000003445894
7112_25922_208.00_210.00,게임,2.0,あ、宿題持ってないの?宿題俺が持ってるんだ,組み合わせたら、あ、食材食材持ってない。,0.85,12.66,18.78,0.3243,0.31299999996554106
7112_25922_221.00_222.00,게임,1.0,オッケーオッケーオッケーオッケー,オッケー、オッケー、オッケー、オッケー,0.0,100.0,100.0,1.0,0.375
7112_25922_222.00_223.00,게임,1.0,じゃあロウソクも渡しておくわ,えじゃどうする。,0.9286,3.5,4.83,0.1905,0.18700000003445894
1352_5491_0.03_4.10,여행,4.068087542139571,ライブ配信をしたいなとということで、もう、金曜日の夜なんでね。,ライブ配信をしたいなと思って、ということであのもう金曜日の夜なんでね。,0.1786,65.51,73.88,0.918,0.43799999996554106
1352_5491_107.00_109.00,여행,2.0,マンペーの声小っちゃいってきたな。,壁の声ちっちゃいってきたな,0.3125,45.28,55.7,0.7586,0.21799999999348074
1352_5491_113.00_115.00,여행,2.0,ピンマイクみたいなのを買わなかった？,これピンマイクみたいなサマだからな。,0.5556,37.39,47.55,0.5714,0.35999999998603016
1352_5491_117.00_119.00,여행,2.0,1件しか来てないから多分大丈夫だと思う。,一件しか来てないから多分大丈夫だった。,0.2105,65.51,77.31,0.8108,0.28100000007543713
1352_5491_119.00_121.00,여행,2.0047615183328418,ピンマイクあれ、（なんぼ）/（いくら）するんやろうなあ？,一枚があれ何百円だよな。,0.8889,2.43,1.94,0.1579,0.2970000000204891
1352_5491_121.00_123.00,여행,2.0,4、5千円くらいじゃない？,四五千円ぐらいじゃない。,0.3333,34.09,47.42,0.6957,0.17199999990407377
1352_5491_124.99_132.28,여행,7.284133496834002,あっ、信号が青なので渡りたいの。信号が青だから。,あ、そこが青なんや。またいいんだよ。そこが青だから。,0.619,17.74,24.34,0.5116,0.4530000000959262
1352_5491_132.27_135.94,여행,3.6667653481756304,渡れます。明るいですね。,明るいですね。,0.4,42.14,51.34,0.75,0.1559999999590218
1352_5491_135.94_141.00,여행,5.065358024532827,えーとー、2時間の近く、バンコクは信号が青の時に渡ればね。,一時間の間で、ランドクは信号が青な時に渡れます。,0.4615,22.78,32.23,0.5833,0.5309999999590218
1352_5491_139.00_141.00,여행,2.0,バンコクは信号が青の時に渡れば。,信号が青の時に渡れます。,0.4667,46.8,54.64,0.6923,0.28200000000651926
1352_5491_141.00_147.00,여행,5.994286933888958,情報薄くないですか？さっきから。なんか、木とか、いろんな人歩いてるとか。,情報少ないさっきからなんか木とかいろんな人歩いているとか,0.2188,54.74,65.96,0.8667,0.35900000005494803
1352_5491_148.13_150.10,여행,1.9700035681359225,あの、バンコクは情報です。,あの韓国は方法で,0.6364,7.01,9.03,0.4211,0.18799999996554106
1352_5491_150.59_153.00,여행,2.409951235309478,いろんなことが、だからすごいおもしろい。,あとは。,0.9444,1.67,0.19,0.0952,0.21799999999348074
1352_5491_156.49_159.00,여행,2.50993934148255,でもバンコク、タイは最後です。,でもバンクタイは最後です。,0.0769,56.82,76.77,0.96,0.2190000000409782
1352_5491_161.00_163.50,여행,2.4999405309000053,スポットヤムクンが美味しいです。,そこやる人が多いです。,0.7333,7.47,10.18,0.32,0.21899999992456287
1352_5491_164.81_171.40,여행,6.589454073328795,あとはナナプラザっていうところに今からちょっとに行こうと思うんですけど、ナナプラザは楽園です。,ただもう七浦だというところに今からちょっと大体だけね行こうと思うんですけど七浦は楽園。,0.4889,40.93,51.63,0.6437,0.609000000054948
1352_5491_17.01_21.00,여행,3.989525415577887,名物のグッズ、これは何やら（やっぱ）/（やはり）ね、たくさんありますね。,ちょっとここら何あるかよくねたくさんありますね。,0.6364,24.17,27.64,0.4286,0.3440000000409782
1352_5491_173.32_175.00,여행,1.6800380602462894,マンペ（聞こえへん）/（聞こえない）って結構多いな。,マンペキコエ編って結構多いな。,0.6,22.41,24.23,0.5128,0.2969999999040738
1352_5491_184.48_187.35,여행,2.869658632264617,もうできない。もう、ちょい声張ろう。結構張ってる。,申し訳ない。もう一回こう入るわ。結構貼ってるような。,0.7143,14.53,17.47,0.4545,0.43700000003445894
1352_5491_187.34_188.67,여행,1.3300796886116473,うん、めちゃくちゃ張ってる。,うん、めちゃくちゃあってる。,0.0833,55.99,73.49,0.9167,0.2970000000204891
1352_5491_189.32_194.45,여행,5.124628317937606,でもこれ（聞こえへん）/（聞こえない）ってもうちょいだから、まあ、バンコクの街並みを見ながらね。,でこれってこう変じゃもんねだからまあ韓国の街並みを見ながらね,0.5556,25.18,29.26,0.56,0.5470000000204891
1352_5491_203.03_206.73,여행,3.6947983996393816,欲しい。でもあれでスラムとか撮影行きたくない。,もしでもあれでスラムとか撮り行きたくない,0.1429,55.87,72.21,0.878,0.3279999999795109
1352_5491_21.00_31.33,여행,10.329722873800002,ここは非常に交通量が多いところに走られましてあの、非常に車の音がうるさいなって思うかもしれないんですけどちょっと、悪い。,は、非常に購入人が多いところと思って、あの非常に車のとか売りたいなって思ったんですけど、もしかしたらこれなんかちょっとあれです。,0.6316,29.26,40.71,0.547,0.7349999999860302
1352_5491_212.90_216.99,여행,4.089751418973037,聞こえるで。外うるさいから仕方ないんやね。近づいたら聞こえるわ。,お聞こえるで外うたいから仕方ないやね。近づいたら聞こえるわ。,0.1379,59.46,77.39,0.9123,0.5459999999729916
1352_5491_216.72_221.94,여행,5.21975641151576,もうしわけない。ここに一回行ってみたいんだけど結構知らんとこや。,行けない。ここで行ってみたいで、こちらの声。,0.6,20.66,25.67,0.4898,0.3440000000409782
1352_5491_227.52_229.89,여행,2.3699559928001293,あの、タイチ君も1ヶ月以上住んでる。,あと、大一くんも一ヶ月以上組んでるやん。,0.5625,16.52,20.71,0.5294,0.4059999999590218
1352_5491_229.89_232.22,여행,2.324961345020853,いやー、わあ、ぜんぜん住みやすいね、ほんとうに。,いやあは全然住みやすいね本当に。,0.5,21.25,27.59,0.5714,0.375
1352_5491_231.90_238.33,여행,6.429473103499987,暑いけど、なんでも揃ってるもんな、飯、普通にウーバーで頼んでも400円で食うよ。,やっぱりはね暑いけどなんでも取ってもなめず普通に海場で頼んでも,0.6389,25.23,34.16,0.597,0.75
1352_5491_243.00_248.36,여행,5.359600367399992,ていうか、ずっとさ、もう出前生活が続いちゃうよね。400円だから。,てかずっとさもう出前生活が続いちゃうよね四百円だから,0.1724,60.19,73.13,0.8727,0.4380000000819564
1352_5491_279.00_282.99,여행,3.994762718199979,タイで面白いこと、いやー、まあ、言えないあんなことやこんなことが。,サイド面白いこといやまあ言えないあんなことやこんなことが,0.1034,65.23,80.55,0.9123,0.34399999992456287
8407_40837_0.00_15.28,"음식,요리",15.28,今日はほとんど忘れていなかった、蒸気ガスパッケージを紹介します,うん。,0.9667,1.37,0.0,0.0625,0.125
8407_40837_106.28_108.28,"음식,요리",2.0,おっと、おぶさんありがとう,どうもさんありがとう。,0.4167,40.77,52.31,0.6364,0.15600000007543713
8407_40837_108.28_114.28,"음식,요리",6.0,久しぶりの寿司だよ、いつぶり?半年くらい?めっちゃ久しぶり,いや久しぶりの久しぶりだよ。いつぶり半年ぐらい。え、めっちゃ久しぶり。,0.3214,39.85,51.67,0.7797,0.5779999999795109
8407_40837_116.28_119.28,"음식,요리",3.0,ライブ初参戦、日生さん、よいよいよい,ライブ八三千二千三よいよい。,0.5625,15.8,22.2,0.4828,0.2970000000204891
8407_40837_120.28_122.28,"음식,요리",2.0,トモさんありがとう、一万人,あともさんありがとう一万人,0.25,65.64,73.62,0.8,0.1869999999180436
8407_40837_129.28_138.28,"음식,요리",9.0,こんばんは、あしゅあしゅさん,こんばんは、足は足足足さん、足足足さん。,0.7692,20.57,24.62,0.4667,0.5940000000409782
8407_40837_171.28_178.28,"음식,요리",7.0,30皿がお寿司で10皿がデザート,えっと 30皿がお寿司で 10皿がデザ。,0.3125,71.73,80.53,0.8485,0.4529999999795109
8407_40837_178.28_181.28,"음식,요리",3.0,だからワンチャンいけるかなって感じ,ザート、だからワンちゃん生きるかなって感じ。,0.4706,38.01,47.18,0.6486,0.35999999998603016
8407_40837_185.28_194.28,"음식,요리",9.0,つまみ食い、もう始めてもいいかな,つまみ食い。え、もう始めてもいいかな。,0.0667,65.55,81.54,0.9677,0.35900000005494803
8407_40837_212.28_219.28,"음식,요리",7.0,じゃあ今からね、体重測定から始めますね、何キロ増えるのか,じゃ今からね、体重測定から始めますね。何キロ降れのか。,0.1538,60.75,72.86,0.88,0.5309999999590218
8407_40837_231.28_237.28,"음식,요리",6.0,あれ、消えた、待って待ってもう一回,あら、消えた。待って待ってもう一回。,0.0667,72.69,86.66,0.9333,0.35999999998603016
8407_40837_259.28_267.28,"음식,요리",8.0,全然見えんかった、えっとねー体重は54.5、この服を着て54.5です,全然見えなかった。えっとね、体重は54.5。この服を着て54。,0.1875,55.46,69.26,0.8814,0.5620000000344589
8407_40837_267.28_271.28,"음식,요리",4.0,はい、皆さん覚えていてください、どんぐらい増えるかな,四点五です。はい皆さん覚えていてください。どんぐらい増えるか,0.25,78.76,81.09,0.8846,0.4529999999795109
8407_40837_285.28_291.28,"음식,요리",6.0,え、じゃあ俺も一回毎日大食いしてみようかな,もうえ一回毎日オグしてみようかな。あり。,0.55,31.81,44.3,0.6316,0.3910000000614673
8407_40837_297.28_301.28,"음식,요리",4.0,マジでもっと大きくなりたかった,マジでもっと大きくなりたかった。,0.0,100.0,100.0,1.0,0.25
8407_40837_304.28_308.28,"음식,요리",4.0,よし、54.5、みんな覚えててね、ほんと,よし、五十四点五みんな覚えててね本当。,0.4706,34.33,45.27,0.5882,0.3589999999385327
8407_40837_322.28_325.28,"음식,요리",3.0,ふーてらのてらは、めしてらのてら!,風てるのてるは、めしてるの。,0.5,14.88,19.41,0.5714,0.2970000000204891
8407_40837_325.28_330.28,"음식,요리",5.0,ということで、今日はお寿司100貫を食べていこうと思います,ってからで今日はお寿司百感を食べていこうと思います。,0.3214,47.61,59.86,0.717,0.39099999994505197
8407_40837_330.28_333.28,"음식,요리",3.0,それでは食べていきましょう,それでは食べていきまーす。ショー,0.3846,58.3,62.63,0.7143,0.25
8407_40837_355.28_359.28,"음식,요리",4.0,そう、めっちゃ小柄なんですよ,そうめっちゃこがらなんですよ。,0.2308,44.78,61.63,0.8148,0.23400000005494803
8407_40837_377.28_382.28,"음식,요리",5.0,この挨拶、特に意味はないかな,この挨拶特に意味はないかな,0.0,100.0,100.0,1.0,0.2029999999795109
8407_40837_382.28_386.28,"음식,요리",4.0,なんか先輩が、なんかこんなのもいいねみたいな,なんか先輩がなんかこんなのもいいねみたいなで。,0.0476,84.79,95.11,0.9767,0.3279999999795109
8407_40837_386.28_389.28,"음식,요리",3.0,で、一緒に考えた、やったっけな、どうやったっけ,一緒に考えたやったっけなどうやったっけ。,0.05,81.71,94.87,0.9744,0.40700000000651926
8407_40837_398.28_401.28,"음식,요리",3.0,総額ね、5000円くらいですね,小学年五千円ぐらいですね。,0.5714,18.72,28.09,0.4615,0.2029999999795109
8407_40837_401.28_412.28,"음식,요리",11.0,何のネタか、そりゃあね、一番大好きな穴子からで決めてた,なんのねだからそれはね一番大好きなアナゴからで決めてた。,0.44,34.6,44.37,0.6538,0.4530000000959262
8407_40837_430.28_435.28,"음식,요리",5.0,米田はね、明日動画上げるのでお楽しみに,コメダはね、明日動画上げるのでお楽しみに。,0.1667,73.56,82.78,0.8649,0.39099999994505197
8407_40837_456.28_460.28,"음식,요리",4.0,今日はお寿司だけ一応、でも一応ね,今日はお寿司だけ一応でも一応ね,0.0,100.0,100.0,1.0,0.4059999999590218
8407_40837_460.28_465.28,"음식,요리",5.0,あの、もし全部食べきれたらプリンが1個あります,あのもし全部食べ切れたらプリンが1個あります。,0.0455,69.54,87.25,0.9545,0.2970000000204891
8407_40837_470.28_474.28,"음식,요리",4.0,ね、米田マジで楽しみにしてて、めっちゃ,ね、カメラマジで楽しみそうってめっちゃ,0.3529,33.93,47.63,0.6857,0.28100000007543713
8407_40837_482.28_487.28,"음식,요리",5.0,陸上のね、長距離1500とかやってるかな,これでいいかな。,0.8947,2.64,2.37,0.1538,0.14099999994505197
1373_5567_102.40_111.99,"일상,소통",9.585014636599993,で、なんかね、最近、ちょっと、途中で写真とかを挿入できるように、なんか、ソフトを使って配信してるんですよね。,でなんかね最近ちょっと途中で写真とかを挿入できるようになんかソフトを使って配信してるんですよね。,0.0,100.0,100.0,1.0,0.5929999999934807
1373_5567_111.99_121.85,"일상,소통",9.860005090983364,なので、なんかね、私たちと、皆さん、私たちじゃない、私と皆さんの間に、あの、時差が、10秒とか20秒くらいあるのかな。みたいなんですけど。,なのでなんかね私たちと皆さん私たちとじゃない私と皆さんの間にあの時差が十秒とか二十秒くらいあるのかなみたいなんですけど。,0.0847,68.81,84.88,0.9322,0.7190000000409782
1373_5567_122.00_126.63,"일상,소통",4.625073182999998,ちょっとまあ、それは、あまり気にしないように、ちょっとね、配信していきたいと思います。,ちょっとまあそれはあまり気にしないようにちょっとね配信して行きたいと思います。,0.0263,77.04,92.99,0.9737,0.39099999994505197
1373_5567_127.20_133.94,"일상,소통",6.735122820099988,よし。で、えーと、ちょっと待ってくださいね。私のチャットが見やすいように、自分のページをスマホで見ますね。,よしでえっとちょっと待ってくださいね私のチャットが見やすいように自分のページをスマホで見ますね。,0.0213,79.18,94.41,0.9787,0.7179999999934807
1373_5567_134.90_138.76,"일상,소통",3.8550439098000027,よいしょ。はい。オッケー。これで、見られるようになりました。,有声はいオッケー声で見られるようになりました,0.24,54.08,67.53,0.8085,0.3130000000819564
1373_5567_138.91_146.61,"일상,소통",7.7000000000341515,はい。じゃあ、えーと、皆さんこんばんは。国内登山？っていうね、コメントが、はい。ありますね。,はいじゃあえっと皆さんこんばんは国内登山っていうねコメントがはいありますね。,0.0526,68.76,85.92,0.96,0.5309999999590218
1373_5567_146.80_151.59,"일상,소통",4.790039455200002,えっとですね、今回は、えーと、国内ではなく、海外の登山についてちょっと、発表したいと思います。,えっとですね今回はえっと国内ではなく海外の登山についてちょっと発表したいと思います。,0.0244,77.74,93.54,0.9756,0.4690000000409782
1373_5567_157.50_159.63,"일상,소통",2.130034364199986,じゃーん。はい。ビールを用意しました。,じゃんはいビールを用意しました。,0.0625,70.14,84.15,0.9677,0.3279999999795109
1373_5567_165.64_178.08,"일상,소통",12.435021000287861,これは、えーと、私、えー、7月上旬かな。7月だっけ。7月かな、に、エルブレスっていうアウトドア用品店で、あの、イベントやったんですよ。,これはえっと私え七月上旬かな七月だっけ七月かなにエルブレスっていうアウトドア用品店であのイベントやったんですよ。,0.0893,62.94,79.2,0.9189,0.75
1373_5567_178.20_183.93,"일상,소통",5.725035000500014,御茶ノ水店で。その時にね、視聴者さんが持ってきてくださって、ちょっと今日、飲んでみようと思って、残しておきました。,お茶の水店でその時ね、視聴者さんが持って来てくださってちょっと今日飲んでみようと思って残しておきました。,0.0784,68.37,84.07,0.9307,0.7029999999795109
1373_5567_18.39_22.40,"일상,소통",4.010329641464466,よいしょ。はい。映ったら、皆さん、教えてください。,よしょ。はい映ったら皆さん教えてください。,0.05,77.43,90.65,0.9744,0.3279999999795109
1373_5567_184.24_186.56,"일상,소통",2.3248949983878617,これ、どこのビールなんだろう。流れ星。,これどこのビールなんだろう流れ星,0.0,100.0,100.0,1.0,0.25
1373_5567_188.57_197.98,"일상,소통",9.414088590822104,国産ホップ農家の方が育てたホップを、ま、国産のホップが使われたビールということで、美味しそう。じゃあ、いただきます。,国産ホップ農家の方が育てたホップを、まあ国産のホップが使われたビールということで、おいしそうじゃいただきます。,0.0769,67.48,85.13,0.9423,0.8279999999795109
1373_5567_200.19_203.88,"일상,소통",3.6898867254776633,うわー。はい。なんか、パッケージもすごいおしゃれ。はい。,はいなんかパッケージもすごいおしゃれはい。,0.1304,75.3,86.07,0.9302,0.40700000000651926
1373_5567_204.40_205.66,"일상,소통",1.2600050909999823,視聴者様、ありがとうございます。,視聴者様ありがとうございます。,0.0,100.0,100.0,1.0,0.2029999999795109
1373_5567_205.71_208.64,"일상,소통",2.929996181746958,で、えーと、グラスはね、これ超お気に入りなんですけど、,でえっとグラスはねこれ超お気に入りなんですけど。,0.0435,74.97,89.22,0.9565,0.5
1373_5567_208.66_220.91,"일상,소통",12.24985363408183,これは、えっとスイスの、えー、このクライネ・シャイデックっていう、あの、グリンデルワルドのね、この、こう、高い山の上の方にある駅の、はい。えー、これ、グラスですね。,これはえっとスイスのこのクライネシャイディックっていうあのグリンデルワルトのねこの高高い山の上の方にある駅のはいこれグラスですね。,0.1176,61.07,77.86,0.9242,1.047000000020489
1373_5567_220.97_222.58,"일상,소통",1.6103041865648322,じゃあ、これでちょっと、いただきます。,じゃあこれでちょっといただきます。,0.0,100.0,100.0,1.0,0.23400000005494803
1373_5567_223.70_227.42,"일상,소통",3.722738758600002,あ、皆さん予想してますね。マッターホルンですかって、次登る山。,あ皆さん予想してますねマッターフルンですかって次登る山,0.037,72.99,89.85,0.963,0.5309999999590218
1373_5567_23.75_26.94,"일상,소통",3.185154638714039,ちょっとね、今日は、若干のタイムラグ、あ、,ちょっとね今日は若干のタイマーが,0.2353,62.6,74.37,0.7879,0.28200000000651926
1373_5567_231.50_238.03,"일상,소통",6.529919816930317,あ、ちょっと、私、注ぎ方が、あんまり上手じゃなくて、泡が出ちゃった。ちょっと、ちょっと待ちましょうね。はーい。,あちょっと私卒業型があんまり上手じゃなくて泡が出ちゃったちょっとちょっと待ちましょうねはい。,0.087,71.42,85.83,0.9231,0.6709999999729916
1373_5567_240.87_242.99,"일상,소통",2.115469007227915,エベレスト？っていうコメントもありますね。,エベレストっていうコメントもありますね。,0.05,68.35,86.06,0.9744,0.28200000000651926
1373_5567_243.38_247.53,"일상,소통",4.145745193375717,どうでしょうか。はい。えーと。,どうでしょうか。はいえっと。,0.0833,68.24,82.65,0.9167,0.25
1373_5567_250.74_256.32,"일상,소통",5.577932488389877,南極大陸の山とかですか。南極でしょうかね。どうかな。,南極大陸の山とかですか？南極でしょうかね？どうかな。,0.087,63.04,77.49,0.9583,0.48400000005494803
1373_5567_256.68_259.22,"일상,소통",2.5446760859341566,はい。まずはちょっと、ビールで乾杯したいと思います。,はいまずはちょっとビールで乾杯したいと思います。,0.0,100.0,100.0,1.0,0.34399999992456287
1373_5567_272.00_275.53,"일상,소통",3.525060455500011,なのでね、お酒とか、ほとんどもう、飲んでなかったんですよ。最近。,なのでねお酒とかほとんども飲んでなかったんですよ最近,0.037,73.59,90.0,0.9811,0.35900000005494803
1373_5567_276.00_280.71,"일상,소통",4.705075728400004,はい。今日は、あ、久しぶりでも、だ、実は昨日、我慢できなくて飲んじゃったんですけど。,はい今日はあ久しぶりでも実は昨日我慢できなくて飲んじゃったんですけど,0.0286,76.69,92.43,0.9855,0.4690000000409782
1373_5567_28.24_33.58,"일상,소통",5.330492553036741,こんにちは。あ、こんにちはじゃない。こんばんはだ。皆さん、こんばんは。,こんにちはあこんにちはじゃないこんばんはだ皆さんこんばんは,0.0,100.0,100.0,1.0,0.3589999999385327
1373_5567_281.33_284.11,"일상,소통",2.7802570948409198,昨日はねもう、我慢できなくて、ちょっとハイボール飲んじゃったんですけど。,昨日はねもう我慢できなくてちょっとハイボール飲んじゃったんですけど。,0.0,100.0,100.0,1.0,0.4220000000204891
1373_5567_291.15_296.32,"일상,소통",5.165029909556154,はい。あ、白馬岳登って来ました。って方いますね。お天気良かったんじゃないですか。今日とか。,はいあ白葉竹登ってきましたって方いますねお天気良かったんじゃないですか今日とか,0.0769,68.18,83.56,0.9231,0.6099999999860302
7266_28097_0.00_8.64,"패션,뷰티",8.64,こちら、左手の中指も取れちゃって、その数日前にも右手、両方とも今回は中指が取れてしまいました。,こちらえっと左手の中指も取れちゃって、その数日前にもね右手なんだろうね両方とも今回は中指が取れてしまいます。,0.2791,65.55,69.34,0.8632,0.7809999999590218
7266_28097_102.40_106.04,"패션,뷰티",3.6400000000000006,その後一緒にご飯とかは行ったりするんですけど、,なんかその後一緒にねご飯とかは行ったりするんですけど,0.1818,71.07,77.09,0.9167,0.31200000003445894
7266_28097_106.04_111.56,"패션,뷰티",5.519999999999996,ネイルはちょっと行くときはお休みになっちゃう方が多くて、,なんかねまあネイルはねちょっと一時やっぱお休みになっちゃう方が多くて,0.4444,48.29,52.87,0.7213,0.4529999999795109
7266_28097_111.56_118.04,"패션,뷰티",6.480000000000004,ちょっと施術のお客様が減ってはいるので、,あのちょっと手術のお客様減ってはいるので。,0.2105,47.55,65.15,0.8718,0.3440000000409782
7266_28097_118.04_124.44,"패션,뷰티",6.3999999999999915,どっかのタイミングで少しだけ募集するかもは考えているので、,ちょっとどっかのタイミングで少しだけ募集するかもはちょっと考えているので。,0.2857,72.36,72.21,0.875,0.48499999998603016
7266_28097_124.44_131.80,"패션,뷰티",7.360000000000014,まだ具体的に考えていないので、もうちょっとお待ちいただけたら嬉しいです。,まあちょっとねまだ具体的に考えてないのであのもうちょっとお待ちいただけたら嬉しいです。,0.2941,65.99,69.91,0.8684,0.46799999999348074
7266_28097_131.80_134.56,"패션,뷰티",2.759999999999991,というわけで、こちらもよく聞かれますが、,というわけでこちらもよく聞かれますが。,0.0,100.0,100.0,1.0,0.23499999998603016
7266_28097_134.56_139.96,"패션,뷰티",5.400000000000006,これはプリジェルのネイルプレップというプレプライマーの液体なんですけど、,これはねプリジェルのネイルプレップっていうプレプライマーの液体なんですけど。,0.0857,69.93,82.6,0.9444,0.4529999999795109
7266_28097_139.96_145.28,"패션,뷰티",5.319999999999993,別にエタノール成分が入っている液体だったら何でもいいです。,あれですね。別にエタノール成分入ってる液体だったら何でもいいです。,0.25,61.7,72.03,0.8814,0.4690000000409782
7266_28097_145.28_151.00,"패션,뷰티",5.719999999999999,これを根元に一旦しみ渡していきましょう。,じゃこれをね根元にちょっと一旦染み渡していきましょう。,0.4211,46.3,47.09,0.8,0.39000000001396984
7266_28097_151.00_157.68,"패션,뷰티",6.680000000000007,そのまま剥がしちゃうと結構地詰めが持っていかれてしまうことが多いので、,そのまま剥がしちゃうと結構字墨が持ってかれてしまうことが多いので。,0.1176,61.92,77.91,0.9091,0.48499999998603016
7266_28097_157.68_162.00,"패션,뷰티",4.319999999999993,ただ厚みがあると地詰めが持っていかれやすいので、,ただねあと厚みがあると地爪持ってかれやすいのでこの親指,0.4783,40.88,49.4,0.76,0.39000000001396984
7266_28097_162.00_167.16,"패션,뷰티",5.159999999999997,この親指、薬指が今回はちょっと心配な要素でございます。,薬指が今回はちょっと心配な要素でございます。,0.16,73.0,82.66,0.913,0.39099999994505197
7266_28097_167.16_172.84,"패션,뷰티",5.680000000000007,こんばんは、よろしくお願いします。,あこんばんはよろしくお願いします。よし。,0.2,81.73,81.72,0.9091,0.39000000001396984
7266_28097_17.24_24.96,"패션,뷰티",7.720000000000002,色味はちょっとお楽しみとして、はい、じゃあまずね、早速いつも通り爪を取っていきたいと思います。,まあ色味はちょっとお楽しみとして。はい、じゃあまずね早速いつもの通り爪を取っていきたいと思います。,0.0698,79.09,89.78,0.9663,0.6880000000819564
7266_28097_172.84_177.56,"패션,뷰티",4.719999999999999,いつもネイルを見に来てくださる方、,そういつもねなんかネイル見に来てくださる方あのマイネイルのライブ,1.125,42.11,32.58,0.625,0.4529999999795109
7266_28097_177.56_184.16,"패션,뷰티",6.599999999999994,推しがオレンジなので今回もお真似しますと言ってくださる方がちょこちょこいらっしゃるんですけど、,あのおしがオレンジなので今回も真似しますって言ってくださる方がちょこちょこいらっしゃるんですけど。,0.1304,69.34,82.98,0.9149,0.6089999999385327
